Name: 時空の禁断 レッドゾーンX | Type: 進化サイキック・クリーチャー | Race: ソニック・コマンド/侵略者/イニシャルズX
Name: 時空の鼓動 ブラックX | Type: サイキック・クリーチャー | Race: 禁断ソニック・コマンド/イニシャルズX
Name: 黒断の覚醒者 ドキンダムBLACK | Type: サイキック・クリーチャー | Race: 禁断ソニック・コマンド/イニシャルズX
Name: 禁断の邪眼 ドキンダムR | Type: クリーチャー | Race: 禁断
Name: Dの終断 ドルマゲドン・エリア | Type: D2フィールド | Race: 
Name: 禁断 ～封印されしX～ | Type: 禁断の鼓動 | Race: 
Name: 伝説の禁断 ドキンダムX | Type: 禁断クリーチャー | Race: 
Name: 禁断の轟速 ブラックゾーン | Type: 進化クリーチャー | Race: ソニック・コマンド/S級侵略者
Name: Forbidden Sunrise ～禁断の夜明け～ | Type: 禁断フィールド | Race: 
Name: 禁断機関 VV-8 | Type: 禁断クリーチャー | Race: 
Name: FORBIDDEN SUNRISE ～禁断の夜明け～ | Type: 禁断フィールド | Race: 
Name: 禁断の轟速 ブラックゾーン | Type: 進化クリーチャー | Race: ソニック・コマンド/S級侵略者
Name: 灰燼と天門の儀式 | Type: 呪文 | Race: 
Name: 奈落の葬儀人デス・シュテロン | Type: クリーチャー | Race: デーモン・コマンド
Name: 禁断英雄 モモキングダムX | Type: スター進化クリーチャー | Race: ジョーカーズ/禁断/レクスターズ
Name: 禁断竜王 Vol-Val-8 | Type: クリーチャー | Race: ディスペクター/アーマード・ドラゴン/アース・ドラゴン/禁断
Name: 奈落の葬儀人デス・シュテロン | Type: クリーチャー | Race: デーモン・コマンド
Name: 龍頭星雲人 / 零誕祭 | Type: クリーチャー | Race: デーモン・コマンド/ゼロリスト
Name: 龍頭星雲人 / 零誕祭 | Type: 呪文 | Race: 
Name: 禁断竜王 Vol-Val-8 | Type: クリーチャー | Race: ディスペクター/アーマード・ドラゴン/アース・ドラゴン/禁断
Name: 禁断の轟速 ブラックゾーン | Type: 進化クリーチャー | Race: ソニック・コマンド/S級侵略者
Name: 禁断の轟速 ブラックゾーン | Type: 進化クリーチャー | Race: ソニック・コマンド/S級侵略者
Name: 禁断の轟速 ブラックゾーン | Type: 進化クリーチャー | Race: ソニック・コマンド/S級侵略者
Name: 龍頭星雲人 / 零誕祭 | Type: クリーチャー | Race: デーモン・コマンド/ゼロリスト
Name: 龍頭星雲人 / 零誕祭 | Type: 呪文 | Race: 
Name: 時空の禁断 レッドゾーンX | Type: 進化サイキック・クリーチャー | Race: ソニック・コマンド/侵略者/イニシャルズX
Name: 禁断樹幹 WO-ZERO | Type: 禁断クリーチャー | Race: 禁断/フィオナ・ガーディアン
Name: 禁断 ～封印されしX～ | Type: 禁断の鼓動 | Race: 
Name: 伝説の禁断 ドキンダムX | Type: 禁断クリーチャー | Race: 
Name: 灰燼と天門の儀式 | Type: 呪文 | Race: 
Name: 禁断竜王 Vol-Val-8 | Type: クリーチャー | Race: ディスペクター/アーマード・ドラゴン/アース・ドラゴン/禁断
Name: 禁断の轟速 ブラックゾーン | Type: 進化クリーチャー | Race: ソニック・コマンド/S級侵略者
Name: 禁断の轟速 ブラックゾーン | Type: 進化クリーチャー | Race: ソニック・コマンド/S級侵略者
Name: 禁断の轟速 ブラックゾーン | Type: 進化クリーチャー | Race: ソニック・コマンド/S級侵略者
Name: Dの禁断 ドキンダムエリア | Type: D2フィールド | Race: 
Name: 灰燼と天門の儀式 | Type: 呪文 | Race: 
Name: 禁断竜王 Vol-Val-8 | Type: クリーチャー | Race: ディスペクター/アーマード・ドラゴン/アース・ドラゴン/禁断
Name: 灰燼と天門の儀式 | Type: 呪文 | Race: 
Name: 禁断竜王 Vol-Val-8 | Type: クリーチャー | Race: ディスペクター/アーマード・ドラゴン/アース・ドラゴン/禁断
Name: 禁断竜秘伝エターナルプレミアムズ | Type: 呪文 | Race: 
Name: 星雲の精霊キルスティン / 神秘の石柱 | Type: クリーチャー | Race: エンジェル・コマンド
Name: 星雲の精霊キルスティン / 神秘の石柱 | Type: 呪文 | Race: 
Name: 禁断のモモキングダム | Type: スター進化クリーチャー | Race: ジョーカーズ/禁断/レクスターズ
Name: 滅亡の起源 零無 | Type: 零龍の儀 | Race: 
Name: 零龍 | Type: 零龍クリーチャー | Race: マスター・ドラゴンZ
Name: 手札の儀 | Type: 零龍星雲 | Race: 
Name: 零龍 | Type: 零龍クリーチャー | Race: マスター・ドラゴンZ
Name: 龍頭星雲人 / 零誕祭 | Type: クリーチャー | Race: デーモン・コマンド/ゼロリスト
Name: 龍頭星雲人 / 零誕祭 | Type: 呪文 | Race: 
Name: 復活の儀 | Type: 零龍星雲 | Race: 
Name: 零龍 | Type: 零龍クリーチャー | Race: マスター・ドラゴンZ
Name: 墓地の儀 | Type: 零龍星雲 | Race: 
Name: 零龍 | Type: 零龍クリーチャー | Race: マスター・ドラゴンZ
Name: 破壊の儀 | Type: 零龍星雲 | Race: 
Name: 零龍 | Type: 零龍クリーチャー | Race: マスター・ドラゴンZ
Name: 禁断V キザム | Type: クリーチャー | Race: ソニック・コマンド/イニシャルズ
Name: FORBIDDEN STAR ～世界最後の日～ | Type: 最終禁断フィールド | Race: 
Name: 終焉の禁断 ドルマゲドンX | Type: 最終禁断クリーチャー | Race: 
